ID,Term,Original definition,Claude Sonnet 4.6,GPT-4,Llama 3.2 3B,Gemma 9B
194,derivación biliopancreática,"Un procedimiento quirúrgico que desvía las secreciones pancreático-biliares a través del duodeno y el yeyuno hacia el colon, al tiempo que el intestino delgado restante se anastomosa al estómago después de la antrectomía. El procedimiento produce menos diarreas que la derivación yeyunoileal.","Operación quirúrgica para perder peso en personas con obesidad grave. El cirujano reduce el tamaño del estómago y cambia el recorrido de los alimentos por el intestino, de modo que el cuerpo absorbe menos calorías y grasas. Es una intervención compleja que se realiza en el hospital bajo anestesia general y requiere seguimiento médico de por vida.","Es una operación para ayudar a perder peso. Cambia el recorrido de los alimentos en el estómago y el intestino, de forma que el cuerpo absorbe menos grasa y calorías. Para lograrlo, se acorta el paso por parte del intestino y se unen nuevas partes del sistema digestivo. Así, una parte de los jugos digestivos se mezcla más tarde con la comida. Puede provocar cambios en la digestión y requiere seguimiento médico.",Un procedimiento quirúrgico que desvía las secreciones pancreático-biliares desde el estómago hacia el colon a través del intestino delgado. Esto permite reducir la cantidad de heces después de un tratamiento quirúrgico en el estómago.,"La derivación biliopancreática es un procedimiento quirúrgico que conecta las secreciones del páncreas y la bilis directamente al colon. Durante este procedimiento, el intestino delgado restante se conecta directamente al estómago después de la cirugía."
195,cólico,"Dolor abdominal agudo, intermitente y con fluctuaciones acordes al peristaltismo intestinal.","Dolor intenso que aparece de forma repentina en el abdomen (la zona del estómago y los intestinos) y que va aumentando y disminuyendo en oleadas. Se produce cuando los órganos del interior del abdomen hacen un esfuerzo excesivo para mover su contenido. Puede durar desde unos minutos hasta varias horas y suele acompañarse de sensación de malestar general. Es frecuente en el aparato digestivo, en los riñones o en la vesícula biliar.","Dolor fuerte en la zona del vientre que aparece en oleadas: aumenta, disminuye y vuelve a aparecer. Suele venir y marcharse varias veces en poco tiempo y puede causar incomodidad o malestar. A menudo está relacionado con movimientos del intestino o con gases.","El cólico es un tipo de dolor en el abdomen que ocurre principalmente en bebés pequeños. Es como si el estómago se contraiga y relajara rápidamente, lo que puede hacer que el dolor sea más intenso por momentos. Esto puede hacer que los bebés se sientan incómodos o estresados, pero generalmente es benigno y no requiere tratamiento especializado. Muchas veces es causado por la formación de gas en el intestino.",El dolor abdominal intenso y momentáneo que se siente de vez en vez es conocido como cólico. Es un problema relacionado con el movimiento del estómago y el intestino.
196,alanina,"Un aminoácido no esencial que se presenta en altos niveles en su estado libre en el plasma. Se produce a partir del piruvato mediante transaminación. Interviene en el metabolismo del azúcar y de los ácidos, incrementa la inmunidad, y aporta energía al tejido muscular, el cerebro y al sistema nervioso central.","Sustancia natural que el propio cuerpo fabrica y que forma parte de las proteínas. Ayuda a transformar los alimentos en energía y contribuye al buen funcionamiento de los músculos, el cerebro y el sistema nervioso. También refuerza las defensas del organismo. Como el cuerpo puede producirla por sí solo, no es imprescindible obtenerla a través de la alimentación, aunque también está presente en alimentos como la carne, el pescado y los huevos.","Es una sustancia que forma parte de las proteínas y que el cuerpo produce de forma natural. Ayuda a transformar el azúcar en energía y a mantener el equilibrio de otras sustancias. Contribuye al buen funcionamiento de los músculos, el cerebro y el sistema nervioso, y apoya las defensas del organismo.","Un aminoácido es una molécula que ayuda a construir las proteínas. Esta específica se encuentra en grandes cantidades en nuestro cuerpo y es esencial para el funcionamiento correcto de muchas funciones corporales, como la producción de energía y la defensa del sistema inmunológico.","La alanina es un aminoácido que se encuentra en el plasma. Su función es proporcionar energía a los órganos, como el corazón, el cerebro y las músculos. También participa en el metabolismo de los azúcares y los ácidos grasos y ayuda a fortalecer el sistema inmunológico."
197,ringer lactato,"Solución cristaloide que contiene cloruro de sodio, lactato de sodio, cloruro de potasio y cloruro de calcio. Se utiliza para la fluidoterapia (tratamiento para mantener o restaurar los fluidos corporales).","Líquido que se administra por vena para reponer el agua y las sales minerales que el cuerpo necesita. Su composición se parece a la del plasma sanguíneo, por lo que el organismo lo tolera bien. Los profesionales sanitarios lo usan cuando una persona ha perdido líquidos por causas como hemorragias, diarreas intensas, vómitos o intervenciones quirúrgicas.","Es un líquido que se administra por vía intravenosa para mantener o recuperar la hidratación del cuerpo. Contiene agua y sales parecidas a las que hay en la sangre. Se usa cuando una persona ha perdido líquidos, por ejemplo, por deshidratación, vómitos o tras una operación. Ayuda a mantener el equilibrio de sales y a que los órganos funcionen de forma adecuada.","### Definición simplificada ###

Una solución cristalina que combina diferentes sales en agua, es utilizada para mantener el equilibrio de líquidos en el cuerpo. Contiene sales como sodio y potasio para ayudar a restaurar fluidos y electrolitos. Se administra por vía intravenosa, lo que significa que se introduce directamente en la sangre. Ayuda a prevenir deshidratación y equilibrio de líquidos en personas que tienen pérdidas excesivas de líquido o que no pueden beber suficiente agua.",Es una solución que contiene sales minerales esenciales para mantener el equilibrio de líquidos en el cuerpo. Se utiliza para restaurar o mantener la cantidad de líquido adecuado en las células y los tejidos.
198,mucosa gástrica,"Revestimiento del estómago, que consiste en un epitelio interno, una membrana mucosa media y una muscularis mucosae externa. Las células superficiales producen moco que proteje al estomago del ataque de ácidos y enzimas digestivas. Cuando el epitelio se invagina dentro de la membrana mucosa en varias regiones del estómago (cardias, fundus gástrico y píloro), se forman diferentes glándulas gástricas tubulares. Estas glándulas están constituidas por células que secretan moco, enzimas, ácido clorhídrico u hormonas.","Capa que recubre el interior del estómago por dentro. Está formada por varias capas de tejido y contiene células especializadas que producen sustancias como el moco, que protege las paredes del estómago de los jugos que utiliza para digerir los alimentos. También contiene pequeñas estructuras en forma de tubo que fabrican otras sustancias necesarias para la digestión, como ácidos y hormonas.","Capa que recubre por dentro el estómago. Actúa como una barrera protectora: produce una sustancia gelatinosa que evita que los ácidos y los jugos digestivos dañen la pared. También contiene pequeñas estructuras que fabrican ácido, enzimas y otras sustancias necesarias para la digestión.
","La parte interior del estómago está revestida con una capa especial que ayuda a protegerlo de los ácidos y las enzimas digestivas. Esta capa es como un barril delgado y flexible donde se forman pequeñas glándulas que producen moco, que actúa como un lubricante para facilitar el movimiento de la comida por el estómago. Estas glándulas también ayudan a controlar los ácidos y las enzimas que descomponen la comida, permitiendo su absorción en el intestino delgado.","El estómago tiene un revestimiento llamado **mucosa gástrica**. Es como una capa que cubre el interior del estómago y lo protege de los ácidos y enzimas del ácido clorhídrico. Esta mucosa está formada por tres capas: una capa de células superficiales que produce moco, una capa media y una capa externa más profunda."
199,desequilibrio hidroelectrolítico,Trastornos en el equilibrio hidroelectrolítico corporal.,"Situación en la que el cuerpo tiene demasiada o demasiado poca agua y sales minerales. El organismo necesita mantener estas sustancias en proporciones adecuadas para funcionar bien. Cuando se alteran esas proporciones, pueden aparecer síntomas como cansancio, calambres musculares, mareos o confusión. Esto puede ocurrir por vómitos, diarrea, sudoración intensa o enfermedades que afectan a los riñones.","Es una alteración del balance de agua y de sales del cuerpo. Ocurre cuando hay demasiada o muy poca cantidad de líquidos o sales, lo que puede afectar al funcionamiento de órganos como el corazón, los músculos o el cerebro. Puede deberse a falta de hidratación, vómitos, diarrea o algunas enfermedades.","El equilibrio correcto de la composición química del cuerpo es fundamental para que funcione correctamente. Por lo general, esto está equilibrado por sí solo a través de las necesidades diarias y la ingesta de alimentos. Sin embargo, en algunas personas puede desequilibrarse debido a factores como un régimen alimenticio inadecuado, una dieta pobre o mal equilibrada, o ciertas enfermedades que afectan el sistema digestivo o renal. Esto puede provocar problemas como mareos, dolor de cabeza y cansancio.","El desequilibrio hidroelectrolítico se refiere a un desequilibrio en las cantidades de ciertas sustancias químicas esenciales en el cuerpo, como el sodio, el potasio o el cloruro. Este desequilibrio puede afectar el funcionamiento normal de los órganos y los sistemas del cuerpo."
200,epilepsia generalizada,"Afecciones recurrentes que se caracterizan por crisis epilépticas que surgen difusa y simultáneamente en ambos hemisferios cerebrales. La clasificación se basa generalmente en las manifestaciones motoras de la crisis (por ejemplo, convulsiva, no convulsiva, acinética, atónica, etc.) o de la causa (por ejemplo, idiopática, criptogénica, y sintomática).","Enfermedad del sistema nervioso en la que se producen crisis cerebrales que afectan a ambas partes del cerebro al mismo tiempo y de forma repetida. Durante estas crisis, la persona puede tener movimientos bruscos e incontrolados del cuerpo, quedarse inmóvil o perder el conocimiento durante unos segundos o minutos. Existen distintos tipos según cómo se manifiesta la crisis o cuál es su causa.","Es un problema del cerebro en el que se repiten episodios llamados crisis. En estas crisis, la actividad del cerebro cambia de forma repentina y afecta a todo el cerebro a la vez. Esto puede provocar movimientos bruscos, pérdida de conocimiento o momentos en los que la persona se queda inmóvil o ausente. Las crisis pueden ser diferentes según cómo se manifiesten. Es una condición que suele necesitar seguimiento médico y tratamiento para ayudar a controlarla.","### Epilepsia Generalizada: una condición médica que afecta a todos los hemisferios del cerebro. 

Esta enfermedad causa crisis repetidas que comienzan al mismo tiempo en ambos lados del cerebro. Las manifestaciones de estas crisis pueden ser diferentes y dependen del tipo de epilepsia, la causa o los síntomas presentes.","La epilepsia generalizada es un tipo de la enfermedad que causa ataques epilépticos que se propaganlan por ambos lados del cerebro. Estos ataques pueden tener diferentes formas, como convulsiones, movimientos rígidos o cambios en la conciencia. La causa de la mayoría de los casos es aún desconocida."
201,benzocaína,Un anestésico de superficie que actúa previniendo la transmisión de impulsos a lo largo de las fibras nerviosas y en las terminaciones nerviosas.,"Sustancia que se aplica sobre la piel o las mucosas para reducir o eliminar la sensación de dolor en una zona concreta del cuerpo. Actúa bloqueando las señales que los nervios envían al cerebro, de modo que la persona no siente molestias en el área tratada. Se usa, por ejemplo, para aliviar el dolor de garganta, las irritaciones en la boca o pequeñas heridas. No afecta a todo el cuerpo, solo a la zona donde se aplica.","Sustancia que se aplica sobre la piel o las mucosas para disminuir o quitar el dolor en la zona donde se usa. Funciona adormeciendo los nervios de esa área, de modo que las señales de dolor no llegan al cerebro. Suele encontrarse en cremas, geles o sprays para aliviar molestias leves, como irritaciones, pequeñas heridas o dolor en la boca. Su efecto es local y temporal.","Un anestésico es una sustancia que reduce o elimina el dolor. Este anestésico se aplica directamente sobre la piel, en lugar de ser consumido por vía oral o inyectado. Funciona previniendo la transmisión de impulsos nerviosos y reduciendo la respuesta del cuerpo al dolor.",La benzocaína es un medicamento que ayuda a aliviar el dolor y la ansiedad al bloquear los impulsos eléctricos en las células nerviosas.
202,sorbitol,"Un alcohol polihídrico con aproximadamente la mitad de la dulzura de la sacarosa. El sorbitol se encuentra en la naturaleza y es producido también sintéticamente a partir de la glucosa. Fue utilizado antiguamente como un diurético y puede aún ser utilizado como laxante y en soluciones para irrigación para algunos procedimientos quirúrgicos. Es también utilizado en muchos procesos industriales, como adyuvante faramacéutico y en varias aplicaciones de investigación.","Sustancia de sabor dulce que se encuentra de forma natural en algunas frutas y que también se puede fabricar en laboratorio. Tiene menos poder endulzante que el azúcar común. En medicina, se usa para ayudar a ir al baño cuando hay estreñimiento o como líquido de limpieza en ciertas operaciones. También se emplea en la fabricación de productos farmacéuticos y en la industria alimentaria, por ejemplo, como edulcorante en algunos alimentos y medicamentos.","Sustancia natural que se encuentra en algunas frutas y que también se fabrica a partir del azúcar. Tiene un sabor dulce, pero menor que el del azúcar común. Se usa como edulcorante en alimentos y como ingrediente en medicamentos. Puede ayudar a ir al baño cuando hay estreñimiento, aunque en exceso puede causar molestias como gases o diarrea. También se emplea en productos industriales y farmacéuticos.","Sorbitol es un compuesto natural que se encuentra en algunas plantas y se produce sintéticamente a partir de la glucosa. Tiene una dulzura moderada, muy inferior a la sacarosa. Es utilizado para tratar ciertas condiciones médicas y también como adyuvante en procesos industriales, especialmente en la industria farmacéutica.","El sorbitol es un líquido claro con un sabor dulce que se encuentra naturalmente en algunos frutos y también se puede fabricar artificialmente. Es aproximadamente dos veces más dulce que el azúcar. Se utiliza en algunos productos como laxante, diurético y en algunos procedimientos médicos."
203,parafina líquida,"Una mezcla de hidrocarburos líquidos obtenidos del petróleo. Es utilizado como laxante, lubricante, base para ungüentos y emoliente.","Sustancia aceitosa que se obtiene del petróleo. Se usa principalmente para aliviar el estreñimiento, ya que facilita el tránsito intestinal y ayuda a expulsar las heces con mayor facilidad. También se aplica sobre la piel para hidratarla y protegerla, y se emplea como base en la elaboración de cremas y pomadas. Su textura es similar a la del aceite y no tiene color ni olor.","Es un líquido claro, parecido al aceite, que se obtiene del petróleo y tiene varios usos. Se emplea sobre todo para facilitar la evacuación cuando hay estreñimiento, ya que hace que las heces se deslicen mejor. También se usa para hidratar y suavizar la piel, y como base para cremas o pomadas.","La ""mezcla de hidrocarburos líquidos"" es un tipo de sustancia que se obtiene a partir del petróleo. Se utiliza en diversos ámbitos, como como una ayuda para el movimiento intestinal, para reducir fricción y mejorar la circulación de los fluidos en los cuerpos, así como también en cosmética y medicina tradicional para suavizar y hidratar la piel. Esta sustancia es ampliamente utilizada debido a sus propiedades útiles y versátiles.","La parafina líquida es una mezcla de sustancias que se encuentran en el petróleo. Es un líquido viscoso utilizado en diversos productos como laxante, lubricante o base para ungüentos y emolientes."
204,mupirocina,"Un antibiótico usado tópicamente obtenido a partir de una cepa de Pseudomonas fluorescens. Ha mostrado una excelente actividad contra estafilococos y estreptococos grampositivos. El antibiótico es utilizado para tratar enfermedades primarias y secundarias de la piel, infecciones nasales y en la curación de heridas.","Medicamento en forma de crema o pomada que se aplica directamente sobre la piel o el interior de la nariz para combatir infecciones causadas por bacterias. Se obtiene a partir de un microorganismo natural y resulta especialmente eficaz contra los tipos de bacterias más comunes que afectan a la piel. Se utiliza para tratar infecciones cutáneas, ya sean de aparición espontánea o como complicación de otra afección, así como para favorecer la cicatrización de heridas infectadas.","Es un medicamento que se aplica sobre la piel o dentro de la nariz para eliminar bacterias. Sirve para tratar infecciones leves como heridas infectadas, granos o zonas irritadas. Actúa frenando el crecimiento de las bacterias y ayuda a que la piel se cure. Se usa en forma de crema o pomada y solo en la zona afectada. Es importante seguir las indicaciones del profesional de salud.",Es un medicamento que ayuda a combatir las infecciones causadas por ciertos tipos de bacterias. Se aplica directamente sobre la piel para tratar heridas o infecciones en la piel o en las vías respiratorias. Es efectivo contra algunas bacterias comunes y se usa comúnmente para curar heridas y infecciones fáciles de tratar.,"La mupirocina es un antibiótico usado directamente en la piel o en las superficies de las heridas. Ayuda a combatir bacterias como los estafilococos y estreptococos, que pueden causar enfermedades de la piel o infecciones."
205,hipoxia cerebral,"Reducción del suministro de oxígeno al encéfalo debido a anoxemia (menor cantidad de oxígeno transportado por la hemoglobina de la sangre), o a una restricción de la circulación de sangre al cerebro, o ambos. El concepto de hipoxia grave hace referencia a la anoxia y es una causa relativamente frecuente de lesión en el sistema nervioso central. Una anoxia cerebral prolongada puede llevar a muerte cerebral o a un estado vegetativo persistente. Histológicamente, esta afección se caracteriza por pérdida neuronal, más prominente en el hipocampo, globo pálido, cerebelo y olivas inferiores.","Situación en la que el cerebro recibe menos oxígeno del que necesita para funcionar correctamente. Puede ocurrir porque la sangre transporta poco oxígeno, porque el flujo de sangre hacia el cerebro se reduce, o por ambas causas a la vez. Cuando la falta de oxígeno es intensa o dura mucho tiempo, puede provocar daños graves en el cerebro, como la pérdida permanente de sus funciones o un estado en el que la persona deja de ser consciente de forma irreversible.","Situación en la que el cerebro no recibe suficiente oxígeno. Puede ocurrir porque la sangre lleva menos oxígeno o porque llega menos sangre a la cabeza. Cuando falta oxígeno, las células del cerebro se dañan. Si dura poco, puede causar mareo o confusión; si dura más tiempo, puede provocar daño grave, pérdida de conciencia o muerte. Es una urgencia médica y necesita atención rápida.","La 'hipoxia cerebral' es cuando el cerebro no recibe suficiente oxígeno. Esto puede ocurrir porque la sangre no llega bien al cerebro, o porque hay menos oxígeno en la sangre que transporta. Si esto pasa durante mucho tiempo, puede causar daño grave y incluso la muerte del cerebro o dejar a una persona sin reacción. El cerebro es muy sensible a la falta de oxígeno y necesita mucha cantidad para funcionar bien.","La hipoxia cerebral es un problema con el suministro de oxígeno al cerebro. Puede ocurrir debido a dos cosas: hay menos oxígeno en la sangre (anoxemia) o hay problemas para que la sangre llegue al cerebro correctamente. Esta condición puede causar daños en el sistema nervioso central, incluyendo la muerte cerebral o un estado vegetativo."
206,acromion,Extensión lateral de la espina de la escápula y punto más elevado del hombro.,"Parte del hueso del hombro que forma la zona más alta y saliente de esta articulación. Sirve de punto de unión para algunos músculos y ligamentos del brazo, y actúa como una especie de techo que protege la articulación del hombro. Se puede notar al tacto como una pequeña protuberancia ósea en la parte superior del hombro.","Parte del hueso del hombro que forma la zona más alta que se puede palpar. Se sitúa en la parte superior y externa del omóplato y ayuda a unir el hombro con la clavícula, permitiendo el movimiento del brazo.","El acromion es una pequeña forma de hueso que se encuentra en la parte superior del hombro. Es la extensión lateral de la espina de la escápula, lo que significa que forma parte del marco óseo del hombro. El acromion tiene una forma curva y se encuentra en el punto más elevado del hombro, lo que le permite soportar el peso del brazo extendido hacia adelante.","Un acromion es la parte más alta del hombro. Se trata de una extensión lateral de la espina de la escápula, el hueso que forma la base del hombro."
207,artrofito,"Fragmentos fibrosos, óseos, cartilaginosos y osteocartilaginosos en una articulación sinovial. Las principales causas son la osteocondritis disecante, la condromatosis sinovial, los osteofitos, las superficies articulares fracturadas y los meniscos dañados.","Pequeño fragmento de tejido (puede ser hueso, cartílago u otro material similar) que se ha desprendido dentro de una articulación, es decir, la zona donde se unen dos huesos. Estas partículas sueltas pueden causar dolor, bloqueo o dificultad para mover la articulación afectada. Se originan por diversas razones, como lesiones en el cartílago, daños en estructuras internas de la articulación o cambios en el hueso producidos por el desgaste o enfermedades.","Pequeños fragmentos sueltos que pueden aparecer dentro de una articulación, formados por tejido duro o flexible. Estos restos pueden venir de hueso, cartílago o una mezcla de ambos. Suelen aparecer cuando hay daño en la articulación, como desgaste, lesiones o roturas. Pueden causar dolor, bloqueo o dificultad para mover la articulación con normalidad.","El artrofito es una condición en la que se forman fragmentos de tejido en una articulación. Estos fragmentos pueden ser fibrosos, óseos o cartilaginosos y pueden causar dolor e inflamación. Las principales razones por las que ocurren estos fragmentos son problemas que afectan el tejido que rodea las articulaciones, como fracturas, cambios en la superficie de los huesos u otros daños a los meniscos. Esto puede llevar a un malestar o dolor en el área afectada.","Un artrofito es un fragmento de tejido fibroso, óseo o cartílago presente en una articulación. Estos fragmentos pueden ser causados por enfermedades como la osteocondritis disecante o la condromatosis sinovial, o por lesiones como fracturas óseas o daños en los meniscos."
208,bolsa serosa,"Un saco lleno de líquido revestido de membrana sinovial que proporciona un amortiguador entre los huesos, los tendones y/o los músculos alrededor de una articulación.","Pequeña bolsa con líquido en su interior que se encuentra cerca de las articulaciones, como la rodilla o el hombro. Actúa como un cojín protector que evita que los huesos, los músculos y los tendones rocen entre sí al moverse. Gracias a ella, el movimiento es más suave y sin dolor. El cuerpo tiene muchas de estas bolsas en distintas partes.","Pequeña bolsa con líquido que hay cerca de algunas articulaciones. Su función es proteger y reducir el roce entre los huesos, los músculos y los tendones cuando se mueven. Actúa como un cojín que facilita el movimiento y ayuda a evitar molestias o lesiones en esa zona.","Una ""bolsa serosa"" es como un amortiguador natural que se encuentra en las articulaciones del cuerpo. Está hecha de un líquido y una membrana especializada que protege los huesos, tendones y músculos alrededor de la articulación. Algunas personas tienen más bolsas serosas de lo normal, mientras que otras no las tienen en absoluto. No causa síntomas ni dañina si está presente.","Una bolsa serosa es un pequeño saco que contiene líquido y está rodeado por una membrana. Ayuda a proteger los huesos, tendones y músculos alrededor de las articulaciones, absorviendo los movimientos y evitando el dolor."
209,diabetes gestacional,"Diabetes mellitus inducida por el embarazo pero que se resuelve al final del mismo. No incluye a las diabéticas diagnosticadas previamente que se quedan embarazadas. La diabetes gestacional generalmente se desarrolla al final del embarazo, cuando los picos de las hormonas antagonistas de la insulina conducen a resistencia a la insulina, intolerancia a la glucosa e hiperglucemia.","Aumento del nivel de azúcar en la sangre que aparece por primera vez durante el embarazo, en personas que antes no tenían esta enfermedad. Ocurre porque el cuerpo no produce suficiente insulina —una sustancia que regula el azúcar— para hacer frente a los cambios hormonales propios del embarazo. Habitualmente desaparece después del parto. Si no se controla, puede afectar tanto a la persona embarazada como al bebé, por lo que es importante seguir las indicaciones del equipo médico.","Es un problema de azúcar alta en la sangre que aparece durante el embarazo en personas que no la tenían antes. Suele surgir en los últimos meses y, en la mayoría de los casos, desaparece tras el parto. Ocurre porque el cuerpo no usa bien la insulina durante el embarazo. Puede no dar síntomas claros, pero es importante controlarlo para evitar complicaciones en la persona gestante y en el bebé. Se detecta con pruebas médicas y se controla con alimentación, ejercicio y, a veces, medicación.","""Es una condición que afecta a algunas mujeres durante el embarazo. Aunque es común, no se convierte en un problema permanente al final del embarazo. Se debe principalmente a cambios en los niveles de hormonas y la resistencia a la insulina, lo que hace que el cuerpo tenga dificultad para manejar la glucosa. Esto puede causar picos de azúcar en sangre, pero generalmente se resuelve una vez que el embarazo termina.""","La diabetes gestacional es un problema de salud que se puede producir durante el embarazo. Es cuando el cuerpo no puede producir suficiente insulina, lo que lleva a niveles altos de azúcar en la sangre. Este problema se desaparece después del nacimiento."
210,contractura de dupuytren,"Engrosamiento y acortamiento de la fascia palmar, que ocasiona flexión inicial del dedo anular y posteriormente del quinto, tercero y segundo dedos.","Enfermedad de la mano en la que el tejido situado bajo la piel de la palma se endurece y encoge de forma progresiva. Esto provoca que uno o varios dedos, generalmente el anular o el meñique, se doblen hacia la palma de la mano y no puedan estirarse completamente. No causa dolor en la mayoría de los casos, pero puede dificultar actividades cotidianas como sujetar objetos o dar la mano.","Es un problema en la mano en el que la piel de la palma se vuelve más dura y tira de uno o varios dedos hacia dentro. Esto hace que cueste estirarlos por completo, sobre todo el anular y el meñique, y puede dificultar tareas como coger objetos o abrir la mano. Suele aparecer poco a poco y no siempre causa dolor, pero puede empeorar con el tiempo.","La ""contractura de Dupuytren"" es un problema común que afecta a algunas personas. Se produce cuando las capas de tejido que rodean los dedos se vuelven más gruesas y rígidas. Esto puede causar que el primer dedo anular se flexione hacia adentro, y posteriormente también se ven afectados el tercer y segundo dedo. Es importante buscar atención médica si notas algún cambio en la forma o el movimiento de tus dedos, ya que un tratamiento temprano puede ayudar a prevenir complicaciones más graves.","La contractura de Dupuytren es un problema en los dedos que causa que los dedos anular y siguientes se doblen hacia abajo y no puedan abrir completamente. Este problema se debe a un engrosamiento y acortamiento de la fascia palmar, un tejido que conecta los huesos de los dedos."
211,espondilosis,"Una enfermedad degenerativa de la columna vertebral que puede involucrar cualquier parte de la vértebra, disco intervertebral y los tejidos blandos circundantes.","Desgaste natural que se produce con el tiempo en los huesos y tejidos de la columna vertebral, es decir, la estructura de huesos que recorre la espalda desde el cuello hasta la pelvis. Este desgaste puede afectar tanto a los huesos como a los discos que actúan como amortiguadores entre ellos, así como a los tejidos que los rodean. Es más frecuente en personas mayores y puede causar dolor, rigidez o dificultad para moverse con normalidad.","Desgaste progresivo de la columna con el paso del tiempo. Afecta a los huesos, los discos entre ellos y los tejidos cercanos. Puede causar dolor, rigidez o dificultad para moverse. Es más frecuente en personas adultas y suele aparecer por el envejecimiento o el uso prolongado de la espalda.","Una enfermedad que afecta a la columna vertebral, causando su descomposición gradual. Puede ocurrir en cualquiera de las partes de la columna: el hueso, el disco entre las vértebras y los tejidos blandos que rodean esta zona.","La espondilosis es una enfermedad que afecta la columna vertebral. Puede afectar cualquier parte de la vértebra, el disco entre dos vértebras y los tejidos blandos que la rodean."
212,hallux rigidus,"Afección causada por artritis degenerativa de la articulación de la metatarsofalange del dedo mayor y que se caracteriza por dolor y limitación de la dorsiflexión, pero donde la flexión plantar relativamente no está restringida.","Problema en el dedo gordo del pie que dificulta su movimiento hacia arriba. La articulación que une el dedo con el pie se desgasta con el tiempo, lo que provoca dolor e inflamación. Al caminar o ponerse de puntillas, el dolor aumenta porque el dedo no puede doblarse con normalidad hacia arriba, aunque sí puede hacerlo un poco hacia abajo. Es más frecuente en personas adultas y puede empeorar de forma progresiva si no se trata.","Problema en la articulación del dedo gordo del pie que se desgasta con el tiempo. Provoca dolor y rigidez, sobre todo al intentar levantar el dedo hacia arriba al caminar. En cambio, bajarlo suele ser más fácil. Puede dificultar ciertas actividades, como subir escaleras o llevar algunos tipos de calzado.","Afección que afecta al dedo grande del pie, causada por una forma degenerativa de artritis que impide el movimiento de la parte superior del dedo. Esto provoca dolor y dificultad para doblar hacia atrás el dedo, aunque todavía se puede hacer plantar (flexionar hacia abajo) sin restricción.","El hallux rigidus es una condición que afecta el dedo mayor del pie. Es causado por un cambio en el cartílago del dedo mayor, lo que lleva a dolor y dificultad para flexionar el pie hacia arriba. Sin embargo, se puedeStill poder flexionar el pie hacia abajo sin problemas."
213,enfermedad de pott,"Osteítis o caries de las vértebras, ocurren usualmente como complicación de la tuberculosis en los pulmones.","Infección causada por la bacteria de la tuberculosis que afecta a los huesos de la columna vertebral. Cuando la tuberculosis se encuentra en los pulmones, puede extenderse a través de la sangre hasta llegar a las vértebras, que son los huesos que forman la columna. Allí provoca una inflamación que daña y destruye el hueso poco a poco. Puede causar dolor de espalda intenso y, si no se trata a tiempo, deformidad en la columna o dificultades para moverse con normalidad.","Es una infección que afecta a los huesos de la columna vertebral. Suele aparecer cuando una infección en los pulmones se extiende por el cuerpo. Puede causar dolor de espalda, debilidad y, en casos graves, deformación de la columna o problemas para moverse. Con diagnóstico y tratamiento adecuados, se puede controlar y evitar complicaciones.","### Enfermedad de Pott

Es una enfermedad que afecta a las vértebras del columna vertebral. Suele ser una complicación de una infección respiratoria crónica en el pecho, como la tuberculosis. La enfermedad provoca la formación de una capa dura y oscura en las vértebras, lo que puede causar dolor y limitar la movilidad en la columna vertebral. Afortunadamente, se pueden tratar con medicamentos y cambios en el estilo de vida para aliviar los síntomas.","La enfermedad de Pott es un problema que puede ocurrir cuando la tuberculosis se propaga a las vértebras, provocando inflamación (osteítis) o deterioros (caries) en ellas."
214,cólico nefrítico,"Dolor intenso, intermitente y espasmódico en la zona lumbar que se irradia a la ingle, escroto y labios. Es a menudo causado por un cálculo renal que pasa a través del uréter o por otras obstrucciones del tracto urinario. A menudo se asocia con náuseas, vómitos, fiebre, inquietud, dolor sordo, micción frecuente, y hematuria.","Dolor muy fuerte en la espalda baja que se extiende hacia el abdomen y la zona genital. Suele estar causado por una piedra pequeña que se forma en el riñón y viaja por los conductos que llevan la orina a la vejiga. Puede aparecer y desaparecer en oleadas y acompañarse de ganas frecuentes de orinar, orina con sangre, náuseas, vómitos o fiebre. Es una situación dolorosa que requiere atención médica.","Dolor muy fuerte que aparece en la parte baja de la espalda y puede bajar hacia la ingle o los genitales. Suele venir en oleadas y no deja estar quieta a la persona. La causa más frecuente es una pequeña “piedra” en el riñón que se mueve y bloquea el paso de la orina. También puede haber náuseas, vómitos, fiebre, ganas de orinar a menudo o sangre en la orina.","El término refiere a un tipo de dolor intenso y espasmódico que se experimenta en la zona lumbar, que luego se irradia hacia el abdome, testículos y labios. Este dolor puede ser causado por una obstrucción del tracto urinario o por un cálculo en el riñón que pasa al tubo de la orina. Los síntomas incluyen náuseas, vómitos, fiebre, inquietud, hematuria y micción frecuente.","El dolor intenso en la zona lumbar que se extiende hasta la ingle, la escrota o los labios es conocido como cólico nefrítico. Este dolor se asocia a problemas como los cálculos renales o obstrucciones en el tracto urinario. También puede acompañar síntomas como náuseas, vómitos, fiebre y dolor sordo."
